,StateName,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,AK,271200.0,277526.5,288418.0,295071.0,298954.5,308866.5,327003.5,338130.0,361205.5,386679.5,389067.5
1,AL,143003.0,147019.0,146941.5,150617.5,152499.5,154968.0,159684.0,167322.5,191177.0,212955.0,216725.5
2,AR,122541.5,122276.0,125813.5,131676.5,134300.5,138054.0,143260.0,149608.5,167337.5,181143.5,183413.5
3,AZ,177607.5,185597.5,198215.0,206481.5,215566.5,230685.0,251354.5,266222.0,331600.0,383898.5,375684.0
4,CA,257984.5,304555.5,321277.5,332221.0,356443.0,392847.5,406143.0,420818.5,494213.5,554661.5,532012.5
5,CO,267399.0,282267.0,311150.5,318601.5,348024.0,369490.5,385082.0,400824.0,479671.5,560286.5,558694.5
6,CT,238635.0,241514.0,243287.0,244883.0,251385.0,258808.0,261711.0,269738.0,323623.5,365233.0,386196.0
7,DE,239995.0,247810.0,256283.5,261262.0,267638.0,277014.5,286915.5,296794.0,353284.0,402353.5,409861.5
8,FL,158325.5,168662.5,179582.5,200461.0,211841.5,229271.0,242679.5,252312.0,306651.0,390504.0,393068.5
9,GA,120960.0,124052.5,124830.5,128197.0,128597.0,135316.5,143231.5,151425.0,174826.5,200543.5,202242.5
10,HI,553076.0,604763.5,628275.0,653701.5,680449.0,713817.5,735573.0,750774.5,853038.0,1024380.5,1031331.0
11,IA,132123.5,137805.0,143101.5,149137.5,151006.0,155107.5,162189.0,166715.0,181434.5,204640.0,207426.5
12,ID,184716.5,182611.5,188867.5,199954.0,215878.0,236385.0,255573.5,285295.0,381419.0,437450.5,409731.0
13,IL,113828.5,114805.5,117629.0,118733.0,117786.0,120062.5,123590.0,128874.5,138152.0,152596.0,157344.0
14,IN,125228.5,128635.5,134192.5,140134.0,146208.5,152671.0,157726.5,168026.5,195271.0,217381.5,226473.5
15,KS,121793.0,125936.5,128969.5,129797.0,133187.5,137142.5,144022.0,153411.0,179118.5,199873.0,203709.0
16,KY,112693.5,116091.5,119237.5,123548.0,129309.0,135892.5,137224.0,146110.0,171490.5,194242.0,193457.0
17,LA,162117.5,166091.0,175498.0,177816.0,175563.0,174640.0,180842.0,186474.5,192397.0,191905.5,186287.0
18,MA,330253.5,350835.5,361333.0,372900.0,389410.0,412396.0,424167.5,435741.0,526312.5,588284.0,606314.5
19,MD,227624.0,235080.5,236631.5,238177.0,244134.0,255283.5,263779.0,272984.5,318338.5,344082.5,349116.5
20,ME,151543.0,153290.0,155122.5,159771.0,170064.0,180173.0,189440.0,205091.0,257822.0,295596.5,312265.0
21,MI,126092.0,130423.0,134602.5,140278.5,147814.0,157612.5,167092.5,175382.5,208681.5,225156.0,222884.5
22,MN,177208.5,182371.5,187656.5,198031.0,209775.0,218506.0,224672.5,230262.0,262868.0,289511.0,293257.0
23,MO,136392.5,139210.5,140028.5,144378.5,147090.5,150856.5,156662.0,164634.0,192834.0,219141.0,221260.5
24,MS,128471.5,130806.0,140148.5,143238.5,145860.5,146893.5,150874.0,152026.0,167312.5,180524.5,171561.5
25,MT,232972.5,245771.5,263232.0,265544.0,270980.5,285362.0,300096.5,319088.0,402741.5,479523.5,478055.5
26,NC,147579.0,149779.5,149309.0,154415.5,160011.5,169793.5,175345.5,183765.0,221182.5,258931.5,266557.0
27,ND,257198.0,273347.5,286652.0,266241.0,260053.5,259737.5,263484.0,268766.5,280406.5,293578.0,296078.5
28,NE,143949.0,148699.5,155852.0,162901.0,169537.0,178401.5,188204.0,195481.0,222944.0,249166.5,254950.5
29,NH,215508.0,221697.5,226773.0,233304.5,246357.0,263040.5,273580.5,291764.5,366112.0,430486.0,442704.5
30,NJ,251728.5,260739.5,260178.5,258995.5,258211.0,268129.0,279526.0,290349.5,339921.5,393489.5,417943.0
31,NM,182001.0,180016.5,179901.0,172243.0,175711.0,180942.5,191138.0,201635.5,219983.5,233467.0,233224.5
32,NV,185055.5,212512.5,225732.5,241647.5,248543.5,266266.0,287692.5,302054.0,360392.0,419387.5,395082.5
33,NY,132560.0,133707.0,136493.0,138819.0,144135.0,150062.0,155092.0,162732.0,190337.0,213290.5,217804.0
34,OH,112607.0,118546.5,123010.0,129024.0,131320.0,136221.0,144540.5,151683.5,177821.0,192596.5,195531.0
35,OK,116930.0,119603.5,123828.5,125388.0,127611.0,126789.0,129812.0,135034.5,153866.0,166356.0,174534.5
36,OR,211714.0,226686.0,238297.5,258367.0,282009.0,307535.5,321333.0,341416.0,415907.0,463277.0,460727.5
37,PA,151702.0,151772.5,151786.5,148857.0,152757.5,156173.5,158276.5,166724.5,190173.5,206196.5,205016.0
38,SC,157162.5,156436.0,159709.0,165803.5,170713.5,176412.0,183208.0,192019.0,224073.0,259905.0,262913.5
39,SD,192250.0,197415.0,203276.5,207798.5,216859.0,223602.0,235036.5,247590.0,277038.0,317239.5,311665.5
40,TN,136848.5,139473.5,147443.5,153124.0,160253.5,167494.0,181320.5,194251.0,227321.5,265291.0,265907.5
41,TX,133726.5,141801.0,149173.5,154016.0,158942.0,164534.0,173248.0,182476.0,204905.5,229425.5,230370.0
42,UT,230254.5,241565.0,256291.0,263978.5,287767.0,315031.5,343549.5,371075.5,468450.5,543914.5,525202.0
43,VA,189052.5,193758.0,198212.5,201498.0,206922.0,215709.5,226494.0,238792.5,273528.0,302373.0,305820.0
44,VT,260183.0,266362.0,272018.5,270372.0,280057.0,291453.5,294763.0,303575.0,363275.0,412146.0,425769.0
45,WA,217198.5,224968.0,233045.0,245609.5,265177.0,293939.5,322527.0,350177.5,431375.0,482590.0,474568.0
46,WI,155561.5,162970.5,169616.5,177199.5,186987.0,200112.5,213092.0,222932.0,257348.0,277279.0,291552.0
47,WV,114042.0,111701.5,117285.0,122660.5,125220.0,132328.5,130340.5,132898.5,151400.0,166881.5,167931.5
48,WY,241386.0,244482.5,252659.0,258248.0,265611.5,265957.0,270044.5,281003.0,307131.0,346992.5,354305.5
