,StateName,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,AK,153896.0,156725.0,165331.0,171307.0,172838.0,178971.0,189994.0,199405.0,211696.0,229143.0,236915.0
1,AL,66320.0,70735.0,70864.0,73022.0,71914.0,73475.0,75909.0,80998.0,96607.0,104054.0,106269.0
2,AR,56529.0,57416.0,61131.0,64998.0,65878.0,68695.0,71726.0,76320.0,85516.0,92577.0,92731.0
3,AZ,91753.0,100522.0,108075.0,113146.0,119450.0,129297.0,145830.0,157128.0,192989.0,223365.0,218959.0
4,CA,145929.0,178624.0,191569.0,201005.0,224169.0,254504.0,268025.0,283491.0,337891.0,386781.0,377461.0
5,CO,151019.0,164222.0,195180.0,208412.0,236793.0,246683.0,253826.0,265936.0,318410.0,377543.0,383825.0
6,CT,134974.0,135365.0,135718.0,139325.0,144109.0,148286.0,152090.0,160433.0,189531.0,217164.0,231978.0
7,DE,123347.0,130421.0,136704.0,141901.0,146187.0,154446.0,163863.0,175714.0,207058.0,235884.0,246786.0
8,FL,72409.0,79862.0,88503.0,102515.0,115809.0,130996.0,143451.0,151363.0,180607.0,229571.0,231972.0
9,GA,50522.0,53015.0,54116.0,56383.0,54303.0,60471.0,63752.0,68253.0,80844.0,90484.0,89774.0
10,HI,263905.0,304949.0,330118.0,353419.0,372497.0,396688.0,414606.0,429633.0,472650.0,571578.0,590032.0
11,IA,54518.0,59557.0,64443.0,67658.0,69081.0,71496.0,76534.0,80377.0,89348.0,102060.0,102006.0
12,ID,106580.0,108053.0,110363.0,117995.0,129442.0,145954.0,161810.0,179048.0,241333.0,287511.0,273522.0
13,IL,52174.0,52177.0,52925.0,54064.0,52870.0,54434.0,57670.0,63698.0,66834.0,68436.0,75184.0
14,IN,57039.0,58327.0,62253.0,66265.0,70787.0,76884.0,82622.0,89886.0,106576.0,121168.0,129670.0
15,KS,50723.0,54304.0,56348.0,60736.0,60725.0,62648.0,66076.0,71872.0,84674.0,94174.0,100868.0
16,KY,48403.0,51548.0,53682.0,57030.0,60681.0,67080.0,68090.0,75035.0,89307.0,99591.0,99836.0
17,LA,65245.0,71341.0,85779.0,87056.0,85599.0,87194.0,94426.0,99755.0,96311.0,88382.0,84298.0
18,MA,177201.0,190504.0,197262.0,209389.0,224953.0,242384.0,252824.0,265007.0,327028.0,365852.0,379467.0
19,MD,117169.0,122655.0,125871.0,128767.0,134805.0,144084.0,153502.0,160432.0,186594.0,204983.0,211576.0
20,ME,84406.0,87348.0,89488.0,93624.0,101953.0,110831.0,118326.0,130147.0,165680.0,194540.0,212132.0
21,MI,55581.0,58367.0,60802.0,66380.0,71021.0,79467.0,85792.0,91464.0,112729.0,119868.0,117410.0
22,MN,90212.0,94416.0,98872.0,105153.0,112606.0,117127.0,126210.0,131149.0,155375.0,172496.0,177104.0
23,MO,60778.0,63473.0,63015.0,67150.0,68952.0,71411.0,77504.0,82324.0,97444.0,110765.0,115066.0
24,MS,57124.0,58982.0,70222.0,68192.0,72255.0,75389.0,78413.0,78095.0,89701.0,94881.0,83167.0
25,MT,143080.0,152663.0,164464.0,168138.0,174980.0,186297.0,198744.0,213644.0,269203.0,321963.0,327020.0
26,NC,69044.0,68661.0,69429.0,73027.0,78362.0,86615.0,92549.0,98398.0,117206.0,134323.0,145482.0
27,ND,152304.0,164437.0,172697.0,156122.0,160630.0,162416.0,160017.0,162665.0,165779.0,172483.0,175106.0
28,NE,67143.0,70335.0,74660.0,78649.0,81947.0,92092.0,99135.0,103739.0,120478.0,136318.0,142169.0
29,NH,120684.0,123029.0,127429.0,133583.0,143256.0,156448.0,166892.0,181530.0,235362.0,286900.0,299476.0
30,NJ,104733.0,109232.0,108279.0,105885.0,104602.0,113232.0,125392.0,136424.0,162544.0,188539.0,206662.0
31,NM,104748.0,102020.0,103270.0,98199.0,96919.0,102758.0,118704.0,130213.0,146831.0,140760.0,137120.0
32,NV,103136.0,123292.0,130388.0,149518.0,160032.0,190198.0,210496.0,218024.0,250301.0,315476.0,302491.0
33,NY,67443.0,68487.0,69951.0,71649.0,74864.0,79334.0,83796.0,89255.0,105036.0,117918.0,120347.0
34,OH,50869.0,54054.0,55978.0,61177.0,63437.0,67728.0,72904.0,75502.0,91900.0,98641.0,101500.0
35,OK,42529.0,44706.0,46237.0,46760.0,48190.0,48511.0,53525.0,56650.0,63790.0,67245.0,72197.0
36,OR,122140.0,131684.0,140594.0,156996.0,174265.0,195062.0,209956.0,225805.0,279300.0,317001.0,317818.0
37,PA,77075.0,78985.0,79515.0,75269.0,76378.0,78716.0,80743.0,87256.0,102695.0,109907.0,107707.0
38,SC,71726.0,72883.0,75633.0,79827.0,82364.0,87326.0,92771.0,98461.0,119850.0,137809.0,138468.0
39,SD,107508.0,110313.0,114278.0,116430.0,119934.0,125586.0,132539.0,139056.0,157255.0,180183.0,183412.0
40,TN,65478.0,69156.0,73518.0,77482.0,79383.0,84798.0,95039.0,104395.0,120994.0,139941.0,144721.0
41,TX,63704.0,68533.0,72508.0,76234.0,80438.0,83517.0,90221.0,97416.0,110489.0,117122.0,118403.0
42,UT,132316.0,140044.0,150634.0,161288.0,181699.0,206004.0,229927.0,252718.0,322784.0,381038.0,370802.0
43,VA,97536.0,102247.0,105887.0,108615.0,112376.0,119361.0,128476.0,137480.0,158519.0,177459.0,185981.0
44,VT,135541.0,136632.0,139061.0,138689.0,144779.0,151384.0,154407.0,160008.0,190351.0,221270.0,234679.0
45,WA,125274.0,128296.0,134041.0,146246.0,161071.0,181551.0,206265.0,228581.0,275770.0,315099.0,314918.0
46,WI,83079.0,87871.0,93157.0,99624.0,105956.0,117481.0,126459.0,133553.0,156897.0,167256.0,180815.0
47,WV,43808.0,43732.0,49605.0,54310.0,55318.0,61223.0,61699.0,62634.0,74281.0,82585.0,80532.0
48,WY,144981.0,148054.0,156113.0,160972.0,165666.0,163083.0,163862.0,171826.0,186190.0,194054.0,209168.0
