,StateName,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,AK,388504.0,398328.0,411505.0,418835.0,425071.0,438762.0,464013.0,476855.0,510715.0,544216.0,541220.0
1,AL,219686.0,223303.0,223019.0,228213.0,233085.0,236461.0,243459.0,253647.0,285747.0,321856.0,327182.0
2,AR,188554.0,187136.0,190496.0,198355.0,202723.0,207413.0,214794.0,222897.0,249159.0,269710.0,274096.0
3,AZ,263462.0,270673.0,288355.0,299817.0,311683.0,332073.0,356879.0,375316.0,470211.0,544432.0,532409.0
4,CA,370040.0,430487.0,450986.0,463437.0,488717.0,531191.0,544261.0,558146.0,650536.0,722542.0,686564.0
5,CO,383779.0,400312.0,427121.0,428791.0,459255.0,492298.0,516338.0,535712.0,640933.0,743030.0,733564.0
6,CT,342296.0,347663.0,350856.0,350441.0,358661.0,369330.0,371332.0,379043.0,457716.0,513302.0,540414.0
7,DE,356643.0,365199.0,375863.0,380623.0,389089.0,399583.0,409968.0,417874.0,499510.0,568823.0,572937.0
8,FL,244242.0,257463.0,270662.0,298407.0,307874.0,327546.0,341908.0,353261.0,432695.0,551437.0,554165.0
9,GA,191398.0,195090.0,195545.0,200011.0,202891.0,210162.0,222711.0,234597.0,268809.0,310603.0,314711.0
10,HI,842247.0,904578.0,926432.0,953984.0,988401.0,1030947.0,1056540.0,1071916.0,1233426.0,1477183.0,1472630.0
11,IA,209729.0,216053.0,221760.0,230617.0,232931.0,238719.0,247844.0,253053.0,273521.0,307220.0,312847.0
12,ID,262853.0,257170.0,267372.0,281913.0,302314.0,326816.0,349337.0,391542.0,521505.0,587390.0,545940.0
13,IL,175483.0,177434.0,182333.0,183402.0,182702.0,185691.0,189510.0,194051.0,209470.0,236756.0,239504.0
14,IN,193418.0,198944.0,206132.0,214003.0,221630.0,228458.0,232831.0,246167.0,283966.0,313595.0,323277.0
15,KS,192863.0,197569.0,201591.0,198858.0,205650.0,211637.0,221968.0,234950.0,273563.0,305572.0,306550.0
16,KY,176984.0,180635.0,184793.0,190066.0,197937.0,204705.0,206358.0,217185.0,253674.0,288893.0,287078.0
17,LA,258990.0,260841.0,265217.0,268576.0,265527.0,262086.0,267258.0,273194.0,288483.0,295429.0,288276.0
18,MA,483306.0,511167.0,525404.0,536411.0,553867.0,582408.0,595511.0,606475.0,725597.0,810716.0,833162.0
19,MD,338079.0,347506.0,347392.0,347587.0,353463.0,366483.0,374056.0,385537.0,450083.0,483182.0,486657.0
20,ME,218680.0,219232.0,220757.0,225918.0,238175.0,249515.0,260554.0,280035.0,349964.0,396653.0,412398.0
21,MI,196603.0,202479.0,208403.0,214177.0,224607.0,235758.0,248393.0,259301.0,304634.0,330444.0,328359.0
22,MN,264205.0,270327.0,276441.0,290909.0,306944.0,319885.0,323135.0,329375.0,370361.0,406526.0,409410.0
23,MO,212007.0,214948.0,217042.0,221607.0,225229.0,230302.0,235820.0,246944.0,288224.0,327517.0,327455.0
24,MS,199819.0,202630.0,210075.0,218285.0,219466.0,218398.0,223335.0,225957.0,244924.0,266168.0,259956.0
25,MT,322865.0,338880.0,362000.0,362950.0,366981.0,384427.0,401449.0,424532.0,536280.0,637084.0,629091.0
26,NC,226114.0,230898.0,229189.0,235804.0,241661.0,252972.0,258142.0,269132.0,325159.0,383540.0,387632.0
27,ND,362092.0,382258.0,400607.0,376360.0,359477.0,357059.0,366951.0,374868.0,395034.0,414673.0,417051.0
28,NE,220755.0,227064.0,237044.0,247153.0,257127.0,264711.0,277273.0,287223.0,325410.0,362015.0,367732.0
29,NH,310332.0,320366.0,326117.0,333026.0,349458.0,369633.0,380269.0,401999.0,496862.0,574072.0,585933.0
30,NJ,398724.0,412247.0,412078.0,412106.0,411820.0,423026.0,433660.0,444275.0,517299.0,598440.0,629224.0
31,NM,259254.0,258013.0,256532.0,246287.0,254503.0,259127.0,263572.0,273058.0,293136.0,326174.0,329329.0
32,NV,266975.0,301733.0,321077.0,333777.0,337055.0,342334.0,364889.0,386084.0,470483.0,523299.0,487674.0
33,NY,197677.0,198927.0,203035.0,205989.0,213406.0,220790.0,226388.0,236209.0,275638.0,308663.0,315261.0
34,OH,174345.0,183039.0,190042.0,196871.0,199203.0,204714.0,216177.0,227865.0,263742.0,286552.0,289562.0
35,OK,191331.0,194501.0,201420.0,204016.0,207032.0,205067.0,206099.0,213419.0,243942.0,265467.0,276872.0
36,OR,301288.0,321688.0,336001.0,359738.0,389753.0,420009.0,432710.0,457027.0,552514.0,609553.0,603637.0
37,PA,226329.0,224560.0,224058.0,222445.0,229137.0,233631.0,235810.0,246193.0,277652.0,302486.0,302325.0
38,SC,242599.0,239989.0,243785.0,251780.0,259063.0,265498.0,273645.0,285577.0,328296.0,382001.0,387359.0
39,SD,276992.0,284517.0,292275.0,299167.0,313784.0,321618.0,337534.0,356124.0,396821.0,454296.0,439919.0
40,TN,208219.0,209791.0,221369.0,228766.0,241124.0,250190.0,267602.0,284107.0,333649.0,390641.0,387094.0
41,TX,203749.0,215069.0,225839.0,231798.0,237446.0,245551.0,256275.0,267536.0,299322.0,341729.0,342337.0
42,UT,328193.0,343086.0,361948.0,366669.0,393835.0,424059.0,457172.0,489433.0,614117.0,706791.0,679602.0
43,VA,280569.0,285269.0,290538.0,294381.0,301468.0,312058.0,324512.0,340105.0,388537.0,427287.0,425659.0
44,VT,384825.0,396092.0,404976.0,402055.0,415335.0,431523.0,435119.0,447142.0,536199.0,603022.0,616859.0
45,WA,309123.0,321640.0,332049.0,344973.0,369283.0,406328.0,438789.0,471774.0,586980.0,650081.0,634218.0
46,WI,228044.0,238070.0,246076.0,254775.0,268018.0,282744.0,299725.0,312311.0,357799.0,387302.0,402289.0
47,WV,184276.0,179671.0,184965.0,191011.0,195122.0,203434.0,198982.0,203163.0,228519.0,251178.0,255331.0
48,WY,337791.0,340911.0,349205.0,355524.0,365557.0,368831.0,376227.0,390180.0,428072.0,499931.0,499443.0
